Rk,team_name,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,â‰¥.500,<.500
1,ATL,NL,162,96,66,.593,4.8,4.0,0.8,-0.1,0.7,94-68,2,0-0,56-25,40-41,6-8,26-26,69-46,27-20,51-36,45-30
2,BAL,AL,163,88,74,.543,5.8,5.5,0.3,0.0,0.3,85-77,3,0-0,43-38,45-36,10-8,25-18,64-49,24-25,29-46,59-28
3,BOS,AL,162,85,77,.525,5.7,5.7,0.0,0.0,0.0,82-80,3,0-0,47-34,38-43,8-12,20-19,57-60,28-17,33-42,52-35
4,CAL,AL,161,70,91,.435,4.7,5.9,-1.1,0.1,-1.0,65-96,5,0-0,43-38,27-53,8-7,26-22,48-62,22-29,36-52,34-39
5,CHC,NL,162,76,86,.469,4.8,4.8,0.0,0.0,0.0,81-81,-5,0-0,43-38,33-48,8-11,21-34,58-70,18-16,45-55,31-31
6,CHW,AL,162,85,77,.525,5.5,4.9,0.6,0.0,0.6,90-72,-5,0-0,44-37,41-40,12-11,25-34,61-56,24-21,38-36,47-41
7,CIN,NL,162,81,81,.500,4.8,4.8,0.0,0.0,0.0,81-81,0,0-0,46-35,35-46,7-8,21-22,63-60,18-21,40-47,41-34
8,CLE,AL,161,99,62,.615,5.9,4.8,1.1,-0.1,1.1,96-65,3,0-0,51-29,48-33,6-9,28-20,71-40,28-22,41-32,58-30
9,COL,NL,162,83,79,.512,5.9,6.0,0.0,0.0,0.0,81-81,2,0-0,55-26,28-53,7-3,23-16,63-55,20-24,46-42,37-37
10,DET,AL,162,53,109,.327,4.8,6.8,-2.0,0.1,-1.8,56-106,-3,0-0,27-54,26-55,4-9,12-21,36-87,17-22,21-68,32-41
11,FLA,NL,162,80,82,.494,4.2,4.3,-0.1,0.0,-0.1,79-83,1,0-0,52-29,28-53,9-8,26-23,56-68,24-14,51-49,29-33
12,HOU,NL,162,82,80,.506,4.6,4.9,-0.2,0.0,-0.2,77-85,5,0-0,48-33,34-47,9-10,28-23,66-58,16-22,35-53,47-27
13,KCR,AL,161,75,86,.466,4.6,4.9,-0.2,0.0,-0.2,77-84,-2,0-0,37-43,38-43,10-6,14-26,52-57,23-29,41-45,34-41
14,LAD,NL,162,90,72,.556,4.3,4.0,0.3,0.0,0.3,87-75,3,0-0,47-34,43-38,9-7,33-23,66-61,24-11,50-36,40-36
15,MIL,AL,162,80,82,.494,5.5,5.5,0.0,0.0,0.0,81-81,-1,0-0,38-43,42-39,11-6,24-18,60-57,20-25,37-51,43-31
16,MIN,AL,162,78,84,.481,5.4,5.6,-0.1,0.0,-0.1,79-83,-1,0-0,39-43,39-41,9-4,22-18,58-61,20-23,39-47,39-37
17,MON,NL,162,88,74,.543,4.6,4.1,0.5,0.0,0.4,89-73,-1,0-0,50-31,38-43,7-5,33-23,67-59,21-15,45-41,43-33
18,NYM,NL,162,71,91,.438,4.6,4.8,-0.2,0.0,-0.2,78-84,-7,0-0,42-39,29-52,8-8,23-35,54-65,17-26,39-60,32-31
19,NYY,AL,162,92,70,.568,5.4,4.9,0.5,0.0,0.5,88-74,4,0-0,49-31,43-39,4-6,25-16,72-43,20-27,40-35,52-35
20,OAK,AL,162,78,84,.481,5.3,5.6,-0.2,0.0,-0.2,78-84,0,0-0,40-41,38-43,9-11,19-23,59-59,19-25,40-48,38-36
21,PHI,NL,162,67,95,.414,4.0,4.9,-0.9,0.1,-0.8,67-95,0,0-0,35-46,32-49,4-4,25-22,56-80,11-15,35-64,32-31
22,PIT,NL,162,73,89,.451,4.8,5.1,-0.4,0.0,-0.3,76-86,-3,0-0,36-44,37-45,7-9,13-27,56-72,17-17,39-61,34-28
23,SDP,NL,162,91,71,.562,4.8,4.2,0.5,0.0,0.5,90-72,1,0-0,45-36,46-35,13-11,32-23,67-54,24-17,38-49,53-22
24,SEA,AL,161,85,76,.528,6.2,5.6,0.6,0.0,0.6,88-73,-3,0-0,43-38,42-38,7-4,21-22,61-59,24-17,41-33,44-43
25,SFG,NL,162,68,94,.420,4.6,5.3,-0.7,0.1,-0.6,71-91,-3,0-0,38-44,30-50,6-10,17-29,58-71,10-23,40-62,28-32
26,STL,NL,162,88,74,.543,4.7,4.4,0.3,0.0,0.3,86-76,2,0-0,48-33,40-41,8-6,30-25,70-56,18-18,43-44,45-30
27,TEX,AL,163,90,72,.556,5.7,4.9,0.8,-0.1,0.7,92-70,-2,0-0,50-31,40-41,5-7,20-21,62-52,28-20,38-36,52-36
28,TOR,AL,162,74,88,.457,4.7,5.0,-0.3,0.0,-0.3,77-85,-3,0-0,35-46,39-42,7-10,19-22,48-62,26-26,34-53,40-35
